Label,Step id,Step time
pfs-omp: 7,1,108.34
pfs-omp: 7,2,1.41
pfs-omp: 7,3,1.37
pfs-omp: 7,4,1.38
pfs-omp: 7,5,1.48
pfs-omp: 7,6,1.39
pfs-omp: 7,7,1.38
pfs-omp: 7,8,1.36
pfs-omp: 7,9,1.35
pfs-omp: 7,10,1.41
pfs-omp: 7,11,1.38
pfs-omp: 7,12,1.37
pfs-omp: 7,13,1.35
pfs-omp: 7,14,1.35
pfs-omp: 7,15,1.4
pfs-omp: 7,16,1.38
pfs-omp: 7,17,1.37
pfs-omp: 7,18,1.37
pfs-omp: 7,19,1.35
pfs-omp: 7,20,1.42
pfs-omp: 7,21,1.43
pfs-omp: 7,22,1.38
pfs-omp: 7,23,1.37
pfs-omp: 7,24,1.37
pfs-omp: 7,25,1.42
pfs-omp: 7,26,1.4
pfs-omp: 7,27,1.38
pfs-omp: 7,28,1.36
pfs-omp: 7,29,1.35
pfs-omp: 7,30,1.42
pfs-omp: 7,31,1.4
pfs-omp: 7,32,1.37
pfs-omp: 7,33,1.36
pfs-omp: 7,34,1.36
pfs-omp: 7,35,1.42
pfs-omp: 7,36,1.4
pfs-omp: 7,37,1.37
pfs-omp: 7,38,1.37
pfs-omp: 7,39,1.35
pfs-omp: 7,40,1.4
pfs-omp: 7,41,1.4
pfs-omp: 7,42,1.37
pfs-omp: 7,43,1.37
pfs-omp: 7,44,1.36
pfs-omp: 7,45,1.4
pfs-omp: 7,46,1.38
pfs-omp: 7,47,1.38
pfs-omp: 7,48,1.36
pfs-omp: 7,49,1.37
pfs-omp: 7,50,1.41
