Label,Step id,Step time
3 ppn,1,136.46
3 ppn,2,1.77
3 ppn,3,1.98
3 ppn,4,1.8
3 ppn,5,2.04
3 ppn,6,1.81
3 ppn,7,1.81
3 ppn,8,1.57
3 ppn,9,1.86
3 ppn,10,1.76
3 ppn,11,1.67
3 ppn,12,1.77
3 ppn,13,1.82
3 ppn,14,1.56
3 ppn,15,1.93
3 ppn,16,1.53
3 ppn,17,1.47
3 ppn,18,1.75
3 ppn,19,1.61
3 ppn,20,1.56
3 ppn,21,1.59
3 ppn,22,1.75
3 ppn,23,1.63
3 ppn,24,1.56
3 ppn,25,1.79
3 ppn,26,1.67
3 ppn,27,1.62
3 ppn,28,1.66
3 ppn,29,1.63
3 ppn,30,1.67
3 ppn,31,1.76
3 ppn,32,1.39
3 ppn,33,1.39
3 ppn,34,1.36
3 ppn,35,1.43
3 ppn,36,1.39
3 ppn,37,1.39
3 ppn,38,1.38
3 ppn,39,1.36
3 ppn,40,1.41
3 ppn,41,1.41
3 ppn,42,1.39
3 ppn,43,1.37
3 ppn,44,1.37
3 ppn,45,1.41
3 ppn,46,1.4
3 ppn,47,1.38
3 ppn,48,1.37
3 ppn,49,1.37
3 ppn,50,1.41
