Label,Step id,Step time
5 ppn,1,147.81
5 ppn,2,2.23
5 ppn,3,2.09
5 ppn,4,1.92
5 ppn,5,1.9
5 ppn,6,1.74
5 ppn,7,1.82
5 ppn,8,1.83
5 ppn,9,1.67
5 ppn,10,1.64
5 ppn,11,1.44
5 ppn,12,1.41
5 ppn,13,1.61
5 ppn,14,1.38
5 ppn,15,1.44
5 ppn,16,1.43
5 ppn,17,1.4
5 ppn,18,1.39
5 ppn,19,1.41
5 ppn,20,1.48
5 ppn,21,1.42
5 ppn,22,1.42
5 ppn,23,1.42
5 ppn,24,1.42
5 ppn,25,1.45
5 ppn,26,1.42
5 ppn,27,1.4
5 ppn,28,1.41
5 ppn,29,1.38
5 ppn,30,1.43
5 ppn,31,1.41
5 ppn,32,1.38
5 ppn,33,1.38
5 ppn,34,1.36
5 ppn,35,1.42
5 ppn,36,1.39
5 ppn,37,1.39
5 ppn,38,1.37
5 ppn,39,1.36
5 ppn,40,1.43
5 ppn,41,1.4
5 ppn,42,1.38
5 ppn,43,1.37
5 ppn,44,1.36
5 ppn,45,1.42
5 ppn,46,1.4
5 ppn,47,1.37
5 ppn,48,1.37
5 ppn,49,1.36
5 ppn,50,1.41
